id,fuel,debut
93100018,GPLc,2021-12-15
93100018,SP95,2022-09-23
93100019,GPLc,2022-10-13
93100019,SP95,2022-10-13
93100019,SP98,2022-10-18
93110002,E10,2014-11-21
93110002,E85,2014-11-21
93110002,GPLc,2014-11-21
93110002,Gazole,2014-11-21
93110002,SP95,2009-11-02
93110002,SP98,2014-11-21
93110004,E85,2010-10-30
93110004,SP95,2010-10-30
93110005,SP95,2017-09-27
93110006,E85,2026-07-30
93110006,GPLc,2026-07-30
93110006,SP95,2026-09-02
93110006,SP98,2026-07-30
93120002,E85,2010-07-01
93120002,SP95,2010-07-01
93120004,SP95,2026-05-11
93120005,SP95,2026-07-22
93130001,E85,2010-03-29
93130001,GPLc,2010-03-29
93130001,SP95,2010-12-11
93130002,SP95,2009-04-21
93130004,SP98,2016-07-20
93130006,E85,2022-10-26
93130006,GPLc,2022-10-26
93130006,SP95,2022-10-26
93130006,SP98,2026-06-16
93130008,SP95,2014-12-12
93130009,E85,2022-10-21
93130009,GPLc,2022-10-21
