id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
75008010,Paris,75008,FACE 35 BLD MALESHERBES,7.07,48.873,2.311,,,,,,,
92140016,CLAMART,92140,1 AVENUE CLAUDE TREBIGNAUD,7.1,48.794,2.252,2.250,,,,0.929,,2026-09-20 00:01:00
75020008,PARIS,75020,217 BOULEVARD MARECHAL DAVOUT,7.18,48.863,2.407,2.250,,1.990,1.990,0.919,,2026-09-20 00:01:00
75016017,PARIS,75016,2 AV DE LA PORTE DE ST CLOUD,7.2,48.83868,2.25394,2.250,,1.990,1.990,0.899,,2026-09-20 00:01:00
92100016,Boulogne-Billancourt,92100,263 BOULEVARD JEAN JAURES,7.2,48.826,2.248,2.639,,2.579,2.399,,,2026-09-18 13:51:36
92160003,Antony,92160,18 Rue Jean Moulin,7.22,48.753,2.308,2.341,,2.300,2.179,0.957,,2026-09-18 07:31:00
75008009,PARIS,75008,FACE 55 AV. GEORGES V - PARKG GE,7.26,48.872,2.301,,,,,,,
75016023,PARIS,75016,7 BOULEVARD MURAT,7.29,48.847,2.259,2.769,,,2.529,,,2026-09-17 12:20:33
75008006,PARIS,75008,164 Boulevard Haussmann,7.31,48.875,2.31,2.550,,2.430,2.330,,,2026-09-19 09:00:00
75016001,PARIS,75016,1 Avenue du Général Sarrail,7.48,48.847,2.256,2.510,,2.320,2.221,,,2026-09-18 06:35:04
92140014,CLAMART,92140,320 AV DU GENERAL DE GAULLE,7.53,48.785,2.251,2.250,,,,,,2026-09-20 00:01:00
75010003,Paris,75010,2/6 RUE LOUIS BLANC,7.54,48.879,2.37,2.388,,2.334,2.215,,,2026-09-17 07:31:00
93170002,BAGNOLET,93170,44-48 AVENUE DE LA REPUBLIQUE,7.57,48.86205,2.4165,2.250,,1.990,,,,2026-09-20 00:01:00
75016026,Paris,75016,4 AVENUE FOCH,7.73,48.87366,2.29202,2.699,2.499,2.569,,,,2026-09-19 07:00:00
75016006,PARIS,75116,PLACE TATTEGRAIN,7.74,48.864,2.272,2.599,,2.599,2.439,,,2026-09-15 06:00:00
94537002,ORLY,94537,1 RUE DES LANCES,7.76,48.75,2.389,2.250,,,,0.899,,2026-09-20 00:01:00
94000009,Créteil,94000,63 Avenue du Général de Gaulle,7.81,48.79039,2.44517,,,,,,,
92100010,Boulogne-Billancourt,92100,16 Avenue André Morizet,7.87,48.83468,2.24193,2.250,1.990,1.990,,,,2026-07-23 08:03:30
93100015,MONTREUIL,93100,86 RUE DE PARIS,7.93,48.857,2.43,2.250,,,1.990,0.919,,2026-09-20 00:01:00
75020010,Paris,75020,101 BLD MORTIER,7.97,48.871,2.409,2.250,,,,,,2026-09-20 00:01:00
94003002,Créteil,94000,AUTOROUTE A86 AIRE DE CARREFOUR POMPADOUR,7.99,48.77982,2.44087,2.250,,1.990,1.990,0.899,1.039,2026-09-20 00:01:00
75010002,PARIS,75010,1 Boulevard de la Chapelle,7.99,48.884,2.364,2.499,2.399,2.449,,,,2026-09-15 06:00:00
94310004,ORLY,94310,106 AVENUE LA VICTOIRE,8.01,48.74588,2.38308,2.250,,1.990,1.990,,0.989,2026-09-20 00:01:00
92100014,BOULOGNE BILLANCOURT,92100,29-31 AVENUE MORIZET,8.11,48.83585,2.23898,2.250,,,1.990,,,2026-09-20 00:01:00
94000010,Créteil,94000,AUTOROUTE A86 CARRE.POMPADOUR,8.12,48.77737,2.44091,2.250,,1.990,1.990,0.884,1.009,2026-09-20 00:01:00
94000011,Créteil,94000,ROUTE DE CHOISY RN 186,8.22,48.78292,2.4467,2.250,,1.990,1.990,0.919,,2026-09-20 00:01:00
92160001,ANTONY,92160,134 Rue Pascal,8.43,48.74,2.315,2.445,,2.334,2.221,0.951,0.989,2026-09-18 11:35:53
91370001,Verrières-le-Buisson,91370,BD DU MARECHAL JUIN,8.5,48.753,2.273,2.425,,2.315,2.196,0.908,,2026-09-18 07:31:00
75019015,PARIS,75019,121 RUE MANIN,8.54,48.884,2.39,,,1.990,,,,2026-09-20 00:01:00
92140005,Clamart,92140,448 AV GENERAL DE GAULLE,8.63,48.78,2.238,2.385,,2.284,2.195,0.919,,2026-09-19 07:31:00
92100015,BOULOGNE BILLANCOURT,92100,108 AV.A MORIZET,8.82,48.84,2.231,2.250,,,,0.925,,2026-09-20 00:01:00
91300019,MASSY,91300,190 AVENUE DU MARÉCHAL LECLERC,8.83,48.739,2.302,2.250,,1.990,1.990,,0.989,2026-09-20 00:01:00
94340007,Joinville-le-Pont,94340,39 RUE CHAPSAL,8.88,48.822,2.465,2.679,,2.599,2.419,,,2026-09-18 14:35:43
