day,fuel,ceiling,nat_n,nat_cap,nat_below,loc_n,loc_cap,loc_below
2025-05-24,E10,1.99,7443,2,7400,250,1,249
2025-05-24,Gazole,2.25,9496,0,9496,262,0,262
2025-05-24,SP98,1.99,7991,9,7832,258,2,239
2025-05-25,E10,1.99,7443,2,7400,250,1,249
2025-05-25,Gazole,2.25,9496,0,9496,262,0,262
2025-05-25,SP98,1.99,7991,9,7835,258,2,239
2025-05-26,E10,1.99,7443,2,7402,250,1,249
2025-05-26,Gazole,2.25,9497,0,9497,262,0,262
2025-05-26,SP98,1.99,7992,9,7839,258,2,239
2025-05-27,E10,1.99,7447,1,7408,250,1,249
2025-05-27,Gazole,2.25,9497,0,9497,262,0,262
2025-05-27,SP98,1.99,7992,9,7836,258,2,237
2025-05-28,E10,1.99,7448,1,7409,250,1,249
2025-05-28,Gazole,2.25,9501,0,9501,262,0,262
2025-05-28,SP98,1.99,7996,10,7842,258,2,238
2025-05-29,E10,1.99,7448,1,7409,250,1,249
2025-05-29,Gazole,2.25,9501,0,9501,262,0,262
2025-05-29,SP98,1.99,7996,10,7840,258,2,239
2025-05-30,E10,1.99,7448,3,7406,250,1,249
2025-05-30,Gazole,2.25,9501,0,9500,262,0,262
2025-05-30,SP98,1.99,7996,10,7842,258,2,239
2025-05-31,E10,1.99,7448,3,7406,249,1,248
2025-05-31,Gazole,2.25,9500,0,9499,261,0,261
2025-05-31,SP98,1.99,7995,10,7841,257,2,237
2025-06-01,E10,1.99,7448,3,7406,249,1,248
2025-06-01,Gazole,2.25,9500,0,9499,261,0,261
2025-06-01,SP98,1.99,7995,10,7841,257,2,237
2025-06-02,E10,1.99,7450,1,7411,249,1,248
2025-06-02,Gazole,2.25,9503,0,9502,261,0,261
2025-06-02,SP98,1.99,7997,10,7844,257,2,237
2025-06-03,E10,1.99,7453,1,7415,249,1,248
2025-06-03,Gazole,2.25,9506,0,9505,261,0,261
2025-06-03,SP98,1.99,7997,10,7843,257,2,237
